taus,b80,b90,b00,b80_bis,b90_bis,b00_bis,ub80_p,ub90_p,ub00_p,ub80_p_bis,ub90_p_bis,ub00_p_bis,ub80_m,ub90_m,ub00_m,ub80_m_bis,ub90_m_bis,ub00_m_bis
0.1,7.345519869220585,11.154656888296087,9.090832419453363,-0.7196183969452354,-0.7969391141792519,-0.8142148359013497,8.149012819166607,12.20228046718193,10.043883255200267,-0.699724892104324,-0.7788904222315317,-0.7948617768455887,6.542026919274563,10.107033309410244,8.137781583706461,-0.7395119017861469,-0.8149878061269721,-0.8335678949571107
0.15,7.273925739662827,11.157193646247098,9.870408083292228,-0.5495583441444527,-0.6145756971513832,-0.6452220162328617,7.782535798083829,11.819960225407232,10.53330613152668,-0.5399050256675724,-0.6003074702787008,-0.6304394536689103,6.765315681241826,10.494427067086962,9.207510035057773,-0.5592116626213331,-0.6288439240240655,-0.6600045787968131
0.2,7.5026749945896976,11.061729892594139,10.046956421179251,-0.4348858856706874,-0.4915123497684073,-0.5205351577305528,8.031012802098836,11.555823909019606,10.704995025747916,-0.4215066061007947,-0.48163571942500083,-0.5079526281228445,6.974337187080558,10.567635876168675,9.38891781661059,-0.44826516524058013,-0.5013889801118138,-0.5331176873382611
0.25,7.347890028838933,10.958020346593988,10.335949010423095,-0.3402507321030015,-0.3938947137277875,-0.4173471034511662,7.810226200317569,11.420080817169278,10.979613507618227,-0.33092561738797316,-0.3853890269505153,-0.40575630339268814,6.885553857360296,10.4959598760187,9.692284513227968,-0.34957584681802983,-0.4024004005050597,-0.4289379035096443
0.3,7.086785119836009,10.79253958720267,10.154482251198537,-0.2716130137612893,-0.31253888080632386,-0.3421777259386873,7.530083374969943,11.243848286619636,10.734377397831548,-0.2627114717923805,-0.30380458586429115,-0.3310934966881581,6.643486864702072,10.341230887785706,9.574587104565527,-0.2805145557301981,-0.32127317574835657,-0.3532619551892165
0.35,7.045443255019351,10.661627323179212,10.389604674571496,-0.20700208216359609,-0.24092431781765636,-0.26851103779234364,7.487523262594073,11.089811884538886,10.862290557844293,-0.19826911218589574,-0.23281063999072513,-0.2593727140848017,6.603363247444628,10.23344276181954,9.9169187912987,-0.21573505214129643,-0.2490379956445876,-0.27764936149988556
0.4,6.869671724977187,10.713655394803734,10.76005643354147,-0.14876400010631574,-0.17390754208691028,-0.193782735289088,7.258551063669826,11.096843423731857,11.173574386447942,-0.1409193757218414,-0.1664113075439867,-0.18561104734763204,6.480792386284546,10.330467365875613,10.346538480634996,-0.15660862449079008,-0.18140377662983387,-0.20195442323054394
0.45,6.886284295240762,10.602492460127332,10.728219088797657,-0.09567374309195477,-0.11145283226601954,-0.12816213337154547,7.304062743929284,10.995024304236898,11.2358120802725,-0.08745337476303,-0.10440333756330966,-0.11901316648433474,6.468505846552242,10.209960616017767,10.220626097322807,-0.10389411142087954,-0.11850232696872942,-0.1373111002587562
0.5,6.832201724839951,10.615064731212076,11.102188634343396,-0.04742747291110838,-0.05453043458709228,-0.06845616638095643,7.203239709892683,10.99783006122336,11.620980944000113,-0.040390330241843304,-0.04730365993159679,-0.06043941098327163,6.46116373978722,10.232299401200793,10.583396324686674,-0.05446461558037346,-0.06175720924258777,-0.07647292177864123
0.55,6.925531307584665,10.652434126613372,11.151054976356015,0.0,0.0,0.0,7.311828851756687,11.014681075389989,11.589181695879395,0.007690282050551381,0.006795209240631388,0.008442700015513206,6.539233763412643,10.290187177836755,10.712928256832637,-0.007690282050551381,-0.006795209240631388,-0.008442700015513206
0.6,6.8968344380935624,10.594929243275438,11.501078852691185,0.05057875682512858,0.055805982648007735,0.05560190701190937,7.284121795848527,10.998843945260667,11.931486637617295,0.05808425256292277,0.06272005310011498,0.0636255367734949,6.509547080338602,10.191014541290206,11.070671067765069,0.04307326108733439,0.04889191219590048,0.04757827725032383
0.65,6.944560367369813,10.640306897919126,11.802021707004318,0.10119013614911944,0.11386065385517075,0.13121598491284736,7.317975029019286,11.06333882208116,12.278249393912064,0.10905807171563059,0.12099887612448593,0.13921549249835952,6.571145705720338,10.217274973757096,11.325794020096572,0.09332220058260829,0.10672243158585556,0.1232164773273352
0.7,6.92848690238579,10.789893873555148,12.056032457426054,0.1558867430147659,0.175050123990518,0.1929479763390045,7.327355239826497,11.251857405642497,12.533168692066464,0.16348408918454427,0.18219155650729046,0.20155461821624585,6.52961856494508,10.327930341467793,11.578896222785644,0.14828939684498754,0.16790869147374554,0.1843413344617632
0.75,7.013602180081105,11.080764432141345,12.150699252268332,0.21128093609207355,0.2414602150992389,0.2688909119976941,7.410480514629103,11.625568978609556,12.73597867436068,0.21916943889852897,0.24941691633981738,0.2773378806143548,6.616723845533106,10.535959885673131,11.565419830175983,0.20339243328561812,0.23350351385866042,0.2604439433810334
0.8,7.142795329326358,11.66571778981098,12.889628122257434,0.2754476496503013,0.32321400454200244,0.3580723315819441,7.598035260210471,12.143977238587599,13.532941744763427,0.28404630414099075,0.33166911474013455,0.36879073177896665,6.687555398442242,11.18745834103436,12.246314499751445,0.2668489951596118,0.31475889434387033,0.3473539313849216
0.85,7.3513479472882945,12.357826301560323,13.618119863488698,0.35982268821754904,0.41992693801702696,0.4685811849827672,7.903262358283963,12.955686815950164,14.177271824615922,0.37094686930816667,0.4294941369641796,0.48019910334421007,6.799433536292626,11.759965787170492,13.058967902361474,0.3486985071269314,0.41035973906987433,0.4569632666213243
